"First stage mobilize, second stage strengthen, third stage integrated movement",,,,,,
,,,,,,
,,,,,,
FMS Test,Stage,Exercise,Sets,Reps / Time,Coaching Cues,Equipment needed
Deep Squat,Stage 1,Ankle Dorsiflexion Mobilization,2,10/side,Slow controlled,Bodyweight
Deep Squat,Stage 1,Goblet Squat Hold,3,10s,Heels elevated if needed,"Weights, maybe blocks or weights for heels"
Deep Squat,Stage 1,T-Spine Extension Foam Roll,2,10 reps,Work the whole Thoracic Spine,Foam roller
Deep Squat,Stage 2,Goblet Squat (3-1-3),3,8 reps,Tempo control,DB or KB
Deep Squat,Stage 2,Counterbalance Squat to Box,3,6 reps,Depth control,DB or KB
Deep Squat,Stage 2,Front-Loaded Split Squat,3,8/side,Spine Upright,DB or KB
Deep Squat,Stage 3,Front Squat,4,5 reps,Light–moderate,DB or KB
Deep Squat,Stage 3,Y Squats w/ hold,3,6 reps,"Band on wall, back engaged",Bands
Deep Squat,Stage 3,Squat to Press,3,8 reps,Slow and controlled,DB or KB
Hurdle Step,Stage 1,Half-Kneeling Hip Flexor Stretch,2,30s/side,Posterior pelvic tilt,Bodyweight
Hurdle Step,Stage 1,Adductor Overloaded Side Shift,2,8/side,Slow,DB or KB
Hurdle Step,Stage 1,Ankle Dorsiflexion Mobilization,2,10/side,Knee over toe,Bodyweight
Hurdle Step,Stage 2,Single-Leg Balance + March,3,"6/side, hold for 2 sec",Control pelvis,Bodyweight
Hurdle Step,Stage 2,Wall March,3,8/side,Stacked posture,
Hurdle Step,Stage 2,Single-Leg RDL Reach,3,6/side,Unloaded,DB or KB
Hurdle Step,Stage 3,Step-Ups,3,8/side,Slow eccentric,DB or KB and Box
Hurdle Step,Stage 3,Suitcase Carry March,3,20m,Anti-lateral flexion,DB or KB
Hurdle Step,Stage 3,Single-Leg RDL,4,6/side,Moderate load,DB or KB
In-Line Lunge,Stage 1,Half-Kneeling Quad Stretch,2,30s/side,Posterior tilt,Bodyweight
In-Line Lunge,Stage 1,Half-Kneeling Hip Flexor Stretch,2,30s/side,Posterior pelvic tilt,Bodyweight
In-Line Lunge,Stage 1,Half-Kneeling T-Spine Rotation,2,8/side,Control,Bodyweight
In-Line Lunge,Stage 2,Split Squat ISO Hold,3,20s,Vertical torso,Bodyweight or DB or KB
In-Line Lunge,Stage 2,Rear-Foot Elevated Split Squat,3,6/side,Slow tempo,DB or KB
In-Line Lunge,Stage 2,Split Squat Narrow Stance Pallof Press,3,8 reps,Anti-rotation,Bands
In-Line Lunge,Stage 3,Walking Lunge,3,10/side,"Front rack preferred, Unilateral is best",DB or KB
In-Line Lunge,Stage 3,Contralateral Loaded Split Squat,4,6/side,Core demand,DB or KB
In-Line Lunge,Stage 3,Barbell In-Line Lunge,3,6 reps,Upright Spine,Barbell
Shoulder Mobility,Stage 1,T-Spine Extension Foam Roll,2,10 reps,Work the whole Thoracic Spine,Foam roller
Shoulder Mobility,Stage 1,"Dowel Flex, Ext, Abd, ER",2,30s/side,Pain free,Dowel or PVC
Shoulder Mobility,Stage 1,"Prayer Stretch, Thumbs up/Palms up",2,30s,Ribs down,Foam roller
Shoulder Mobility,Stage 2,Wall Slides,3,8 reps,No rib flare,Bands
Shoulder Mobility,Stage 2,Prone Y-T-W,2,8 each,Light load,Bands
Shoulder Mobility,Stage 2,Bottoms-Up KB Carry,3,20m,Scap stability,KB
Shoulder Mobility,Stage 3,Crab Walk,3,10m,"Shoulders extended, hips high",Bodyweight
Shoulder Mobility,Stage 3,Overhead Carry,3,20m,Neutral spine,DB or KB
Shoulder Mobility,Stage 3,Push-Up Plus,3,10 reps,Serratus focus,Bodyweight
ASLR,Stage 1,Hamstring Banded Floss,2,10/side,Active,Bands
ASLR,Stage 1,90/90 Hip Mobility,2,8/side,Upright,Bodyweight
ASLR,Stage 1,Glute / Hamstring Roll out,1,2–3 min,As needed,Foam roller
ASLR,Stage 2,Dead Bug,3,6/side,Contralateral,Bodyweight
ASLR,Stage 2,Toes up / Heels up Toe Touch,3,8 reps,Actively reaching down,Blocks or weights
ASLR,Stage 2,Walking Single Leg RDL,3,20m,"Flat back, hip hinge",Bodyweight
ASLR,Stage 3,Single Leg Glute Bridge,3,8/side,Progress,DB or KB
ASLR,Stage 3,Single Leg RDL,4,6 reps,Hinge,DB or KB
ASLR,Stage 3,Walking A and B March,4,20m,"Tall posture, total control",Bodyweight
Core Biased Push Up,Stage 1,Quadruped Rockback,2,10 reps,Neutral spine,Bodyweight
Core Biased Push Up,Stage 1,Incline Push-Up,3,8 reps,Brace,Bodyweight
Core Biased Push Up,Stage 1,Dead Bug,3,6/side,"Control, no lumbar arch",Bodyweight
Core Biased Push Up,Stage 2,Plank,3,30s,"No sag, active abs",Bodyweight
Core Biased Push Up,Stage 2,Eccentric Push-Up,3,5 reps,5s down,Bodyweight
Core Biased Push Up,Stage 2,Bear Crawl Hold,3,20s,Knees off,Bodyweight
Core Biased Push Up,Stage 3,Push-Up,4,6–10,Quality,Bodyweight
